ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,ID Geography,Slug Geography,share
16,"$175,000 to $199,999",2016,"2016",4514369,34067,"United States","01000US","united-states",0.060173479263286755
15,"$150,000 to $174,999",2016,"2016",6353838,43924,"United States","01000US","united-states",0.08469235437672096
18,"$250,000 to $299,999",2016,"2016",445888,8780,"California","04000US06","california",0.06421727135357348
14,"$125,000 to $149,999",2016,"2016",5121498,39785,"United States","01000US","united-states",0.06826609736598063
13,"$100,000 to $124,999",2016,"2016",5485921,40800,"United States","01000US","united-states",0.07312360897692
19,"$300,000 to $399,999",2016,"2016",1012902,13595.000000000002,"California","04000US06","california",0.14587924005260802
12,"$90,000 to $99,999",2016,"2016",2022917,21338,"United States","01000US","united-states",0.026964112625895282
11,"$80,000 to $89,999",2016,"2016",2410556,24738,"United States","01000US","united-states",0.03213107778274028
20,"$400,000 to $499,999",2016,"2016",916179,12145,"California","04000US06","california",0.13194908912427694
10,"$70,000 to $79,999",2016,"2016",2028732,23113,"United States","01000US","united-states",0.0270416226349167
9,"$60,000 to $69,999",2016,"2016",1791841,21381,"United States","01000US","united-states",0.02388402615218362
21,"$500,000 to $749,999",2016,"2016",1526267,15418,"California","04000US06","california",0.21981462182656752
8,"$50,000 to $59,999",2016,"2016",1539615,18269,"United States","01000US","united-states",0.020522024512383732
7,"$40,000 to $49,999",2016,"2016",1216199,17626,"United States","01000US","united-states",0.016211108419920944
22,"$750,000 to $999,999",2016,"2016",794088,10471,"California","04000US06","california",0.11436541143654114
6,"$35,000 to $39,999",2016,"2016",475525,11468,"United States","01000US","united-states",0.006338425974189181
5,"$30,000 to $34,999",2016,"2016",617388,12456,"United States","01000US","united-states",0.0082293636198995
23,"$1,000,000 to $1,499,999",2016,"2016",488956,7512,"California","04000US06","california",0.07041997123034904
4,"$25,000 to $29,999",2016,"2016",498424,9088,"United States","01000US","united-states",0.0066436541249340585
3,"$20,000 to $24,999",2016,"2016",551250,10889,"United States","01000US","united-states",0.0073477889033632
24,"$1,500,000 to $1,999,999",2016,"2016",200430,5751,"California","04000US06","california",0.028866145079923057
2,"$15,000 to $19,999",2016,"2016",510633,9259,"United States","01000US","united-states",0.006806391820573353
1,"$10,000 to $14,999",2016,"2016",559146,10562,"United States","01000US","united-states",0.007453037232036136
25,"$2,000,000 or More",2016,"2016",255640,6433,"California","04000US06","california",0.036817548910999004
0,"Less Than $10,000",2016,"2016",1021239,17427,"United States","01000US","united-states",0.013612423749445317
13,"$100,000 to $124,999",2015,"2015",132685,6146,"California","04000US06","california",0.019199594606894143
9,"$60,000 to $69,999",2015,"2015",1874444,20511,"United States","01000US","united-states",0.02515812309130778
5,"$30,000 to $34,999",2015,"2015",654975,12830,"United States","01000US","united-states",0.008790842336036345
4,"$25,000 to $29,999",2015,"2015",18101,1792.9999999999998,"California","04000US06","california",0.0026192249461460667
14,"$125,000 to $149,999",2015,"2015",116101,4663,"California","04000US06","california",0.016799880419452212
17,"$200,000 to $249,999",2015,"2015",7825963,44403,"United States","01000US","united-states",0.10503730197435628
23,"$1,000,000 to $1,499,999",2015,"2015",1102169,12720,"United States","01000US","united-states",0.014792921724748033
7,"$40,000 to $49,999",2015,"2015",1274745,15303,"United States","01000US","united-states",0.01710917563823146
15,"$150,000 to $174,999",2015,"2015",213367,5895,"California","04000US06","california",0.030874325677274616
5,"$30,000 to $34,999",2015,"2015",23399,2155,"California","04000US06","california",0.0033858485451009235
13,"$100,000 to $124,999",2015,"2015",5842517,39281,"United States","01000US","united-states",0.07841619266783016
2,"$15,000 to $19,999",2015,"2015",500762,10364,"United States","01000US","united-states",0.006721050100962987
16,"$175,000 to $199,999",2015,"2015",161551,5710,"California","04000US06","california",0.023376521146613073
24,"$1,500,000 to $1,999,999",2015,"2015",387386,8046.999999999999,"United States","01000US","united-states",0.005199357607828964
6,"$35,000 to $39,999",2015,"2015",16478,1597,"California","04000US06","california",0.0023843759274401904
18,"$250,000 to $299,999",2015,"2015",6209502,35851,"United States","01000US","united-states",0.0833417352834877
17,"$200,000 to $249,999",2015,"2015",449789,11199,"California","04000US06","california",0.06508472290492753
10,"$70,000 to $79,999",2015,"2015",2160730,19708,"United States","01000US","united-states",0.029000552327560308
4,"$25,000 to $29,999",2015,"2015",523598,11473,"United States","01000US","united-states",0.007027546800204524
