Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
2002,Annual,Butte County,Not Adj,Not Prelim,97100,90000,7100,0.073
2001,Annual,Butte County,Not Adj,Not Prelim,95100,88900,6300,0.066
2000,Annual,Butte County,Not Adj,Not Prelim,93200,87400,5800,0.062
1999,Annual,Butte County,Not Adj,Not Prelim,85500,79700,5800,0.068
1998,Annual,Butte County,Not Adj,Not Prelim,85000,77900,7100,0.083
1997,Annual,Butte County,Not Adj,Not Prelim,83900,76600,7300,0.087
1996,Annual,Butte County,Not Adj,Not Prelim,82700,75200,7500,0.091
1995,Annual,Butte County,Not Adj,Not Prelim,82200,74000,8200,0.099
1994,Annual,Butte County,Not Adj,Not Prelim,82800,74300,8500,0.103
1993,Annual,Butte County,Not Adj,Not Prelim,82500,72700,9800,0.119
1992,Annual,Butte County,Not Adj,Not Prelim,82000,72300,9700,0.118
1991,Annual,Butte County,Not Adj,Not Prelim,79300,71600,7700,0.097
1990,Annual,Butte County,Not Adj,Not Prelim,78800,72200,6600,0.084
2019,Annual,Calaveras County,Not Adj,Prelim,21430,20620,810,0.038
2018,Annual,Calaveras County,Not Adj,Not Prelim,21190,20330,860,0.041
2017,Annual,Calaveras County,Not Adj,Not Prelim,21040,20050,990,0.047
2016,Annual,Calaveras County,Not Adj,Not Prelim,20790,19610,1180,0.057
2015,Annual,Calaveras County,Not Adj,Not Prelim,20550,19240,1310,0.064
2014,Annual,Calaveras County,Not Adj,Not Prelim,20240,18620,1620,0.080
2013,Annual,Calaveras County,Not Adj,Not Prelim,20260,18240,2010,0.099
2012,Annual,Calaveras County,Not Adj,Not Prelim,20200,17710,2500,0.124
2011,Annual,Calaveras County,Not Adj,Not Prelim,20670,17770,2900,0.140
2010,Annual,Calaveras County,Not Adj,Not Prelim,21010,17980,3040,0.144
2009,Annual,Calaveras County,Not Adj,Not Prelim,20330,17560,2760,0.136
2008,Annual,Calaveras County,Not Adj,Not Prelim,20620,18830,1790,0.087
2007,Annual,Calaveras County,Not Adj,Not Prelim,20730,19390,1330,0.064
2006,Annual,Calaveras County,Not Adj,Not Prelim,20600,19390,1210,0.059
2005,Annual,Calaveras County,Not Adj,Not Prelim,20530,19250,1280,0.062
2004,Annual,Calaveras County,Not Adj,Not Prelim,19960,18610,1350,0.068
2003,Annual,Calaveras County,Not Adj,Not Prelim,19850,18400,1460,0.073
2002,Annual,Calaveras County,Not Adj,Not Prelim,19680,18410,1270,0.065
2001,Annual,Calaveras County,Not Adj,Not Prelim,19030,17990,1040,0.055
