city_county,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
East Palo Alto,"380,197","794,219","1,442,530","1,747,576","1,662,961","2,229,394","2,142,415","1,995,624","1,860,575","1,907,347","1,761,288","1,878,632","2,076,243","2,265,846","2,219,846","2,483,233","2,335,613","3,423,893","3,537,533","3,844,049","4,267,230"
Foster City,"4,995,160","4,118,466","5,082,875","4,142,292","3,663,103","3,697,529","3,091,390","3,084,657","3,287,928","3,498,012","5,208,880","778,820","3,173,313","3,310,957","2,735,737","2,796,182","2,507,318","2,567,285","3,280,686","3,294,399","3,610,957"
Half Moon Bay,"1,209,799","1,394,418","1,533,313","1,691,108","1,633,675","1,615,217","1,387,929","1,423,562","1,480,044","1,574,514","1,404,034","1,321,203","1,413,790","1,616,840","1,652,157","1,683,906","1,782,806","2,004,209","2,665,740","2,783,960","2,976,679"
Hillsborough,"69,272","82,528","86,678","79,288","70,267","75,842","51,436","54,694","58,841","66,717","72,419","76,928","41,251","82,748","137,836","48,675","54,877","78,753","100,556","94,406","104,947"
Menlo Park,"8,533,123","9,234,955","12,063,201","8,785,079","6,600,999","5,847,181","4,834,414","4,785,826","5,033,918","5,518,470","4,817,197","4,086,476","4,538,266","4,263,404","4,453,637","4,945,003","4,307,982","4,346,324","5,474,588","5,861,592","6,893,646"
Millbrae,"2,161,332","2,153,784","2,286,571","1,930,619","1,963,121","1,941,906","1,536,358","1,654,565","1,620,333","1,669,030","1,583,042","1,450,031","1,579,889","1,571,676","1,583,579","1,698,091","1,792,201","2,070,450","2,642,679","3,054,063","3,195,777"
Pacifica,"1,046,410","1,194,613","1,318,326","1,249,251","1,232,519","1,298,436","1,095,551","1,102,191","1,102,165","1,206,379","1,189,114","1,125,879","1,212,869","1,289,865","1,347,674","1,424,118","1,491,992","1,597,852","2,071,687","2,134,520","2,263,947"
Portola Valley,"133,144","152,393","171,252","160,568","220,536","78,348","104,933","115,062","113,033","159,573","113,505","94,929","110,579","132,772","371,398","349,849",0,"152,395","205,914","231,944","195,857"
Redwood City,"15,334,460","18,182,806","21,439,407","15,705,670","14,829,568","15,473,249","12,618,508","13,616,882","14,404,699","13,661,544","12,193,255","10,882,094","11,795,340","12,513,505","14,101,073","15,184,188","16,743,704","18,734,853","22,163,923","22,679,898","23,058,981"
San Bruno,"6,181,733","6,498,550","6,687,388","6,127,231","6,086,353","5,712,510","5,034,876","5,129,180","4,985,808","5,002,300","4,355,326","4,336,712","4,662,100","5,194,612","5,415,300","5,663,123","5,531,069","5,869,900","7,651,632","7,173,573","7,581,278"
San Carlos,"5,242,311","6,450,363","7,180,904","5,977,427","6,105,061","5,732,756","4,769,298","4,749,272","4,892,296","5,077,903","5,206,471","4,745,150","4,916,745","5,064,471","5,473,794","6,262,092","6,612,956","7,601,302","10,406,119","11,169,787","11,903,747"
