city_county,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Alameda County unincorporated,"14,277,864","15,227,324","16,291,835","15,522,476","14,437,243","12,661,881","12,076,329","12,990,147","13,085,629","13,342,317","12,088,205","10,799,430","11,777,787","12,815,268","13,670,465","13,858,110","14,690,142","17,896,336","20,974,075","22,555,772","24,117,851"
Alameda,"6,418,238","7,543,435","6,358,253","5,700,932","5,439,014","5,550,861","4,800,925","4,558,950","4,435,492","4,609,622","4,945,891","4,430,889","4,599,431","4,850,738","5,392,967","5,834,133","6,526,645","7,221,154","9,657,890","10,226,070","11,306,838"
Albany,"1,167,781","1,211,576","1,329,805","1,321,537","1,254,025","1,260,270","1,217,554","1,514,204","1,549,357","1,529,285","1,587,599","1,488,715","1,583,574","1,549,902","1,581,522","1,700,414","1,784,653","1,942,165","2,476,795","2,544,670","2,715,130"
Berkeley,"12,892,362","14,028,422","15,095,117","14,225,098","13,681,625","13,291,175","10,891,810","10,546,474","10,915,577","10,897,146","10,609,130","9,758,473","10,662,923","11,122,684","11,954,128","12,154,216","12,705,685","14,812,181","17,829,582","17,478,991","18,696,420"
Dublin,"8,449,547","11,308,321","13,140,642","12,850,804","13,178,836","13,745,326","11,560,268","11,188,910","10,367,151","10,620,162","9,241,221","8,932,670","9,894,994","11,024,929","12,431,433","13,338,777","13,991,923","16,023,427","20,665,981","20,400,883","23,717,492"
Emeryville,"4,969,848","5,957,098","8,290,451","7,888,714","7,408,342","7,241,062","5,801,341","5,813,692","5,793,064","5,774,873","4,960,252","4,716,197","5,337,935","5,488,965","5,525,649","5,999,368","6,173,009","6,960,481","8,544,137","8,732,930","8,930,389"
Fremont,"25,499,890","29,756,197","33,606,480","29,348,401","25,296,773","25,289,282","22,026,171","22,888,156","24,335,248","25,665,470","22,550,107","19,970,495","22,081,106","23,023,811","25,491,179","27,066,435","29,390,296","35,313,761","47,120,748","55,559,222","65,694,377"
Hayward,"26,740,026","29,771,343","34,290,890","30,597,110","25,730,762","26,730,310","21,276,695","21,441,555","21,722,124","21,223,608","19,072,152","17,792,363","18,180,562","19,728,976","21,351,028","22,625,952","22,324,076","26,078,253","33,941,578","32,052,809","34,215,600"
Livermore,"11,567,706","14,154,212","16,443,267","16,287,409","16,541,455","17,671,453","14,998,294","14,725,377","15,247,217","14,262,656","12,084,578","11,041,953","11,956,007","15,211,762","16,714,665","19,897,627","19,314,075","23,192,365","29,787,221","33,423,660","34,590,565"
Newark,"9,868,050","11,013,889","11,957,578","10,377,622","10,841,741","12,119,952","9,397,935","8,340,112","7,605,521","7,484,294","6,277,024","5,784,662","6,093,677","6,527,551","6,890,313","7,212,488","7,744,236","9,327,537","11,567,019","12,184,175","13,148,678"
Oakland,"32,904,247","35,136,706","38,311,144","34,859,339","35,798,491","37,668,684","33,697,620","35,474,063","36,205,800","37,862,490","29,568,999","25,260,923","27,806,575","32,333,008","33,543,807","34,985,955","36,126,859","40,463,736","50,132,407","53,747,106","57,031,410"
Piedmont,"160,646","169,575","184,762","172,433","170,132","160,996","149,058","132,911","146,518","133,849","123,063","91,071","101,886","133,753","110,396","176,099","169,809","159,263","170,552","174,726","194,584"
Pleasanton,"19,341,842","17,998,801","20,655,804","17,918,432","16,671,109","19,738,928","15,164,505","16,340,305","16,163,927","15,718,523","13,219,371","11,953,187","14,104,192","13,860,222","14,338,497","15,817,299","16,376,095","18,282,043","23,108,678","22,399,289","22,275,795"
San Leandro,"16,653,758","20,179,030","22,056,094","21,438,416","20,411,179","20,416,847","16,993,076","17,134,720","17,497,429","16,123,803","14,266,121","13,708,417","14,261,639","15,439,589","16,377,276","17,965,132","20,079,996","24,115,323","30,123,073","30,619,514","32,133,094"
Union City,"6,216,457","6,718,778","7,478,811","7,040,319","7,419,153","6,841,676","6,050,352","5,940,902","6,238,492","6,663,966","6,160,632","5,501,909","6,175,526","5,870,855","6,500,393","6,610,973","6,881,731","7,045,864","9,647,942","10,813,669","10,687,425"
Alpine County UNINCORPORATED,"343,389","206,338","254,805","225,347","272,158","186,335","155,765","184,782","239,327","184,142","129,227","190,975","169,721","215,259","222,728","195,956","253,527","393,077","541,426","400,239","278,918"
Amador County unincorporated,"1,518,121","1,809,642","2,071,874","1,982,222","2,188,432","2,291,762","1,859,546","1,888,908","2,185,497","2,681,518","2,057,044","1,919,686","1,856,983","2,066,581","1,950,571","2,047,563","2,147,178","2,315,630","2,874,018","2,952,716","3,115,828"
Amador,"11,176","10,781","16,966","12,224","13,982","13,990","11,220","10,388","10,112","8,736","8,844","6,492","6,039","6,925","7,868","8,035","9,236","9,790","11,169","9,625","12,099"
Ione,"123,667","125,970","113,716","110,091","121,304","128,560","119,851","108,653","108,754","121,051","265,895","122,620","119,754","64,530","62,085","103,675","117,197","224,775","177,002","176,434","183,459"
Jackson,"885,858","1,023,745","1,060,124","1,104,013","1,150,233","1,227,028","994,664","982,293","986,386","520,611","546,849","417,485","485,045","505,570","547,196","554,672","605,198","733,617","895,687","943,065","974,021"
Plymouth,"84,265","96,506","106,594","114,547","113,729","132,248","109,371","118,176","112,218","113,336","98,651","86,611","114,950","102,946","114,537","121,644","134,277","153,323","205,853","207,804","207,596"
Sutter Creek,"292,900","320,457","341,785","331,174","362,669","386,747","314,020","308,904","267,943","193,033","129,518","129,456","147,500","170,035","159,386","185,840","205,994","301,302","338,137","389,693","409,545"
Butte County unincorporated,"3,312,593","3,922,822","3,875,668","3,367,096","3,554,181","3,844,842","3,426,744","3,479,217","3,451,652","2,904,680","2,856,188","2,628,040","2,853,278","2,814,714","2,979,778","3,287,375","3,446,968","4,053,644","5,013,435","5,307,543","5,374,439"
Biggs,"18,437","22,024","20,477","14,773","16,764","20,656","14,430","8,977","5,789","6,972","29,033","15,722","17,890","14,690","19,946","22,060","17,760","16,264","22,773","21,232","26,057"
Chico,"10,169,306","11,083,924","12,104,747","13,377,749","13,928,717","14,771,702","12,557,767","13,002,978","12,827,391","12,938,851","11,938,924","10,890,362","11,572,570","12,164,290","12,785,274","13,553,222","14,341,471","16,138,950","20,600,402","22,290,060","24,068,654"
Gridley,"674,108","726,015","795,433","772,554","844,029","847,889","726,730","773,424","789,978","746,597","714,286","653,142","691,116","694,812","693,237","747,609","750,567","840,905","1,019,353","1,075,967","1,166,354"
Oroville,"2,378,217","2,502,715","2,704,268","2,763,831","2,767,202","2,909,722","2,496,212","2,750,957","2,760,701","2,729,694","2,560,111","2,336,056","2,422,694","2,744,570","2,741,931","2,895,044","2,913,395","3,213,669","4,204,918","4,316,603","4,805,122"
Paradise,"1,255,209","1,408,031","1,385,289","1,378,762","1,545,810","1,523,778","1,300,403","1,307,901","1,291,713","1,309,016","1,220,453","1,157,215","1,216,019","1,236,808","1,275,470","1,295,826","1,349,318","1,452,030","1,816,658","1,870,495","1,343,430"
Calaveras County unincorporated,"1,598,567","1,780,591","1,807,630","1,910,170","2,039,788","2,215,343","1,892,261","2,066,149","2,132,139","2,040,388","1,693,224","1,507,367","1,604,587","1,739,580","1,785,593","1,819,145","1,969,241","2,269,134","3,101,801","3,226,374","3,345,492"
Angels Camp,"453,101","518,715","553,084","589,970","628,967","715,256","559,179","603,307","579,807","592,417","493,173","445,466","464,687","479,651","546,243","552,755","568,254","638,738","811,605","831,403","870,453"
Colusa County unincorporated,"657,067","779,616","810,143","677,076","702,835","778,180","787,116","759,464","914,297","936,847","1,827,869","2,340,433","945,409","1,412,358","1,462,075","1,323,264","1,401,474","1,605,769","1,644,859","1,478,701","2,036,195"
Colusa,"759,338","853,788","966,291","954,510","900,921","930,164","780,643","781,181","874,629","820,016","978,968","918,661","794,537","933,008","762,166","868,602","858,766","1,003,554","1,315,205","1,306,972","1,538,239"
Williams,"392,712","521,278","504,409","466,668","484,478","491,882","452,407","467,867","477,091","471,743","504,828","456,944","374,555","469,391","477,266","474,979","547,104","541,126","799,937","881,120","934,556"
Contra Costa County unincorporated,"9,687,594","10,591,433","11,506,469","11,483,333","11,054,358","10,417,973","8,797,222","9,338,272","9,950,602","10,192,307","9,708,110","9,577,478","9,145,245","10,192,742","10,698,333","11,456,105","10,335,970","13,437,744","15,105,325","15,073,488","16,631,064"
Antioch,"5,820,756","6,863,563","8,261,813","8,459,870","8,737,884","9,117,746","8,226,962","8,302,663","8,431,426","8,299,513","7,206,198","6,630,555","6,951,915","7,348,007","8,120,723","8,049,195","8,779,631","9,644,978","12,345,933","13,190,009","14,610,125"
Brentwood,"1,519,827","1,782,535","2,058,744","2,076,803","2,342,517","2,837,075","3,030,176","3,431,195","3,406,503","3,622,295","3,553,761","3,778,741","4,007,186","4,281,920","4,521,816","4,802,542","5,153,481","6,019,568","7,923,596","8,675,759","8,941,250"
Clayton,"377,070","418,535","412,244","418,492","402,221","367,068","282,410","270,370","250,018","298,179","267,744","256,971","273,567","265,706","274,374","306,105","316,196","357,250","448,541","443,950","473,173"
Concord,"21,102,212","23,066,228","26,196,915","25,912,364","27,051,103","28,328,569","22,505,657","21,948,897","21,598,348","20,620,590","18,300,004","17,096,769","17,060,741","17,689,114","19,267,406","20,714,285","22,490,237","26,148,906","33,321,973","34,776,720","37,226,262"
Danville,"3,446,883","3,904,053","4,134,722","3,957,838","3,942,432","3,955,483","3,400,479","3,381,378","3,468,990","3,534,944","3,308,697","3,163,725","3,418,951","3,728,464","3,738,768","3,851,364","3,975,797","4,332,308","5,393,609","5,608,062","5,721,434"
El Cerrito,"2,051,804","2,328,202","2,499,924","2,702,843","2,985,462","3,214,975","2,607,685","2,489,261","2,911,666","2,797,986","2,350,609","2,449,595","1,728,348","2,615,189","2,554,990","2,455,479","2,066,985","2,405,294","3,003,507","2,936,548","3,156,830"
Hercules,"587,486","725,209","730,629","894,373","983,417","919,618","937,879","947,909","1,087,551","1,045,293","1,052,731","908,910","955,399","1,059,062","1,092,379","1,108,738","1,409,312","1,753,699","1,982,504","2,011,532","2,555,261"
Lafayette,"2,045,516","2,220,236","2,333,630","2,295,454","2,255,221","2,312,983","1,964,844","1,918,374","2,010,758","1,917,003","1,841,886","1,645,624","1,745,424","1,922,135","1,954,341","2,063,830","2,137,038","2,477,981","3,022,776","3,007,727","3,110,520"
Martinez,"2,867,279","3,272,400","2,716,215","3,476,398","2,649,796","3,789,579","3,317,262","3,379,421","3,143,068","3,218,422","3,031,129","2,961,707","3,614,818","3,799,512","3,983,537","4,392,929","3,747,393","4,056,368","4,855,675","4,765,944","5,023,597"
Moraga,"722,405","752,594","779,681","751,582","767,140","749,641","624,472","637,677","657,641","685,322","623,265","676,546","686,675","738,484","738,186","757,757","785,000","825,499","1,000,294","1,032,203","1,139,368"
Oakley,NA,"371,628","1,033,546","969,042","1,012,076","1,020,484","850,869","959,077","913,828","1,305,137","1,009,253","978,627","1,115,704","1,133,797","1,131,518","1,104,642","1,156,101","1,356,615","1,774,362","1,809,676","2,066,487"
Orinda,"722,413","750,182","878,360","859,206","809,943","811,519","690,700","730,045","708,185","738,868","804,069","676,164","659,163","677,099","706,080","744,149","769,447","859,196","1,022,667","1,073,021","1,041,381"
Pinole,"2,440,487","2,762,953","3,160,264","3,181,254","3,151,629","3,217,736","2,625,644","2,567,969","2,608,719","2,446,205","2,248,375","2,087,994","2,222,649","2,307,087","2,420,861","2,492,079","2,621,920","2,959,961","3,716,217","3,842,705","3,986,565"
Pittsburg,"4,260,213","5,708,142","6,430,820","8,172,513","6,905,027","6,671,525","6,142,201","6,525,194","5,726,551","5,709,339","5,224,558","4,598,874","4,384,586","4,418,790","6,953,393","4,961,820","5,566,267","5,098,795","8,516,289","8,715,812","9,221,316"
Pleasant Hill,"5,373,492","6,227,757","7,411,895","6,824,140","6,824,100","6,694,506","5,448,891","5,345,880","5,583,633","5,360,717","5,080,352","4,550,562","4,769,731","4,817,922","5,384,155","5,432,627","5,947,682","6,735,594","8,426,670","8,406,865","8,620,672"
Richmond,"9,987,380","11,628,479","13,056,448","12,087,547","12,087,854","11,622,980","9,939,222","9,474,686","9,395,356","10,484,694","8,788,491","8,248,990","9,455,745","9,618,033","9,772,834","10,551,398","11,613,674","12,364,221","15,542,209","17,400,705","18,245,344"
San Pablo,"1,273,394","1,460,975","1,596,693","1,630,339","1,774,901","1,713,816","1,377,478","1,280,702","1,214,009","1,313,032","1,298,703","1,178,333","1,223,989","1,309,347","1,454,200","1,481,969","1,540,356","1,711,718","2,169,488","2,282,778","2,482,966"
San Ramon,"11,417,733","13,347,706","11,744,364","8,190,611","7,907,831","8,143,989","7,052,506","6,672,381","7,318,808","6,750,716","14,973,150","5,156,413","5,748,358","6,103,697","6,170,766","7,285,091","6,767,908","8,228,335","9,761,559","9,476,632","10,459,632"
Walnut Creek,"19,839,964","15,481,176","18,652,759","18,195,912","18,084,243","19,735,343","15,361,209","15,529,480","15,133,645","14,717,817","12,685,853","12,059,767","12,904,573","13,778,534","14,877,741","15,595,223","16,195,944","18,607,867","23,525,397","23,721,791","27,086,833"
Del Norte County unincorporated,"700,538","732,286","887,630","862,638","1,031,987","1,003,502","831,183","818,790","821,962","761,508","757,814","674,124","683,524","720,865","773,152","781,812","846,366","830,027","1,120,482","1,145,834","1,207,033"
Crescent City,"803,836","897,762","920,909","967,508","846,460","941,755","837,124","828,863","941,950","1,015,591","943,234","828,248","862,850","902,037","958,604","944,504","1,019,091","1,101,884","1,347,983","1,385,762","1,543,377"
El Dorado County unincorporated,"5,378,326","6,330,739","6,950,513","7,347,920","7,820,003","8,700,801","7,720,788","8,143,767","8,143,927","8,452,792","7,674,793","6,831,253","7,148,636","7,461,760","7,895,785","8,322,235","8,615,153","9,734,603","12,743,577","13,313,748","14,784,985"
Placerville,"2,333,425","2,668,985","3,015,812","3,298,631","3,486,529","3,320,545","2,811,332","2,968,548","2,975,344","2,729,490","2,261,250","2,101,203","2,159,524","2,408,392","2,499,608","2,819,311","2,878,654","3,556,622","4,569,407","4,920,090","5,163,551"
South Lake Tahoe,"3,059,181","3,464,987","3,691,574","3,708,787","3,638,904","3,790,138","3,243,187","3,444,285","3,257,987","3,083,264","2,816,486","2,544,549","2,552,379","2,674,268","2,969,660","3,147,919","3,237,501","3,926,635","5,074,311","5,282,760","5,569,249"
Fresno County unincorporated,"12,040,182","12,509,401","13,437,137","13,077,899","13,829,674","15,706,779","13,903,262","14,695,516","14,951,705","14,124,308","14,567,097","12,167,353","12,787,292","14,861,380","15,893,897","17,018,150","17,164,364","22,742,167","24,068,987","26,377,344","27,478,272"
Clovis,"8,154,320","9,433,395","9,724,592","10,690,587","11,068,774","11,880,894","10,426,302","10,973,864","11,247,961","10,600,571","9,695,928","9,326,829","9,589,297","10,340,069","11,059,127","12,355,911","13,115,852","15,312,250","19,333,728","20,088,192","21,398,962"
Coalinga,"635,449","652,790","731,762","618,165","657,568","757,100","613,410","744,772","1,085,782","845,825","882,567","681,292","569,938","816,093","738,274","475,148","726,569","710,712","768,956","795,842","946,569"
Firebaugh,"404,688","398,710","517,373","584,634","648,375","560,376","445,141","512,765","564,807","567,035","625,449","460,471","436,653","550,440","642,226","595,306","603,708","671,111","749,251","887,447","825,341"
Fowler,"377,640","492,222","487,373","395,854","586,855","839,660","787,391","935,691","908,514","974,280","886,400","720,495","675,063","886,981","855,875","912,625","1,044,496","1,179,530","1,331,516","1,290,773","1,415,099"
Fresno,"44,055,829","48,961,418","52,249,564","52,679,842","56,899,314","61,848,563","53,255,186","57,174,350","57,188,487","55,988,380","50,248,577","44,726,049","45,830,576","50,759,025","53,645,530","55,937,708","58,736,464","66,748,309","82,809,681","86,000,524","91,798,987"
Huron,"139,111","138,566","138,600","131,598","133,441","147,496","123,635","117,934","128,297","120,437","121,311","104,798","111,120","126,919","125,446","135,037","118,074","137,366","159,651","174,745","182,158"
Kerman,"671,530","789,247","793,395","627,410","597,099","624,057","581,429","633,494","635,411","765,594","665,018","689,839","738,954","879,282","1,064,423","1,166,128","1,285,187","1,467,730","1,786,614","1,913,749","1,981,109"
Kingsburg,"509,259","576,697","643,499","534,216","594,097","654,516","528,617","546,129","600,527","637,053","611,824","589,932","629,554","693,122","718,548","749,894","872,568","755,647","1,024,710","975,836","1,141,664"
Mendota,"248,655","300,569","343,936","334,840","325,350","342,470","317,768","343,004","405,748","378,302","432,653","444,669","406,257","475,558","483,934","479,252","467,350","429,386","534,888","611,472","674,507"
Orange Cove,"113,947","127,596","127,532","111,315","122,038","136,415","104,013","116,456","113,637","119,052","122,388","102,564","121,638","127,573","121,327","129,664","124,437","134,063","169,910","176,743","225,323"
Parlier,"160,289","188,296","208,751","191,295","194,649","293,951","197,145","195,785","228,388","243,467","258,827","254,220","240,671","267,589","321,388","367,505","318,879","275,968","376,532","424,544","444,697"
Reedley,"1,210,503","1,223,204","1,283,735","1,339,947","1,357,474","1,308,719","1,136,621","1,206,422","1,138,100","1,181,658","1,096,189","984,152","1,019,256","1,129,618","1,149,508","1,185,077","1,206,185","1,376,093","1,642,865","1,687,854","1,755,297"
San Joaquin,"150,139","1,501,850","152,062","132,119","116,983","126,836","122,235","126,381","158,251","182,268","237,314","143,069","218,720","237,762","267,962","291,238","304,802","155,625","173,819","185,302","252,989"
Sanger,"1,393,202","169,249","1,645,629","1,473,339","1,464,559","1,513,208","1,380,964","1,396,161","1,271,997","1,409,888","1,226,738","1,092,105","1,164,495","1,262,673","1,326,890","1,378,363","1,381,948","1,725,255","2,063,386","2,320,636","2,325,388"
Selma,"2,599,112","3,034,828","3,668,506","3,812,251","3,926,954","4,096,095","3,218,510","3,515,980","3,479,391","3,081,922","2,395,685","2,114,625","2,265,109","2,764,243","2,985,449","3,135,152","3,323,931","3,967,477","5,016,247","5,515,388","6,482,913"
Glenn County unincorporated,"777,201","881,606","994,808","938,376","827,306","1,185,480","881,362","951,876","992,993","889,652","798,749","686,219","700,089","815,497","845,304","806,971","756,922","853,069","1,008,459","1,153,495","1,218,610"
Orland,"541,500","603,613","629,407","631,116","701,668","747,563","722,007","758,238","775,258","714,865","657,620","509,273","598,152","705,244","704,099","835,507","886,165","1,121,105","1,697,633","1,884,677","2,045,159"
Willows,"667,140","708,457","771,938","796,947","800,972","857,133","721,131","778,915","742,398","770,934","818,968","812,320","820,351","889,242","961,174","889,972","967,229","1,078,415","1,318,599","1,339,260","1,449,212"
Humboldt County unincorporated,"2,421,433","2,616,081","2,833,222","2,781,655","2,975,383","3,125,885","2,616,786","2,674,151","2,867,777","3,114,926","3,027,768","3,022,860","3,388,512","3,336,593","3,538,378","3,781,843","3,904,619","4,661,904","6,262,393","6,564,980","5,477,576"
Arcata,"1,473,401","1,550,326","1,529,865","1,606,772","1,565,128","1,606,678","1,381,359","1,460,359","1,474,878","1,597,701","1,456,152","1,496,444","1,515,087","1,650,966","1,684,511","1,690,367","1,771,415","2,032,154","2,637,665","2,696,573","2,661,920"
Blue Lake,"43,077","33,974","39,962","53,770","46,924","40,008","38,479","37,182","15,968","7,404","11,974","13,177","11,138","11,512","12,275","14,829","19,145","25,609","32,128","38,823","35,897"
Eureka,"6,385,580","6,968,288","7,371,078","7,367,474","7,640,617","8,089,489","6,919,965","6,980,195","7,243,023","6,859,959","6,338,684","6,214,570","6,397,916","6,321,468","6,794,374","7,138,255","7,268,491","8,288,677","10,532,343","10,235,110","10,383,568"
Ferndale,"110,062","118,537","123,610","123,750","131,869","129,503","114,329","103,816","100,489","117,567","108,658","103,191","95,392","94,216","100,175","110,961","125,024","145,164","169,288","167,975","155,102"
Fortuna,"953,026","1,103,990","1,129,472","1,166,570","1,177,306","1,259,108","1,068,857","1,041,828","1,070,613","1,197,883","1,041,335","1,007,434","1,069,745","1,101,460","1,062,343","1,124,608","1,145,132","1,348,089","1,850,290","1,873,405","1,801,313"
Rio Dell,"59,076","63,820","70,637","71,975","71,836","81,603","68,338","70,853","78,649","84,451","80,716","79,765","120,240","137,236","131,812","109,881","97,679","109,116","142,423","222,191","185,820"
Trinidad,"58,912","67,283","74,470","77,617","75,562","79,183","66,831","65,176","62,866","68,505","68,313","71,325","73,015","76,564","78,467","81,003","88,906","98,435","126,960","137,610","149,303"
Imperial County unincorporated,"481,380","1,802,575","1,846,537","1,331,578","1,646,940","1,686,421","1,481,189","1,674,211","1,969,917","2,452,149","1,889,434","1,351,241","1,880,282","1,902,125","6,694,495","10,829,262","6,180,862","4,504,857","3,829,030","4,861,770","4,468,698"
Brawley,"1,205,093","1,319,837","1,249,404","1,337,657","1,412,007","1,570,978","1,214,629","1,423,037","1,299,006","1,347,021","1,578,994","1,462,214","1,501,098","1,661,603","1,589,848","1,623,041","1,711,971","1,811,723","2,167,502","2,306,942","2,419,218"
Calexico,"2,906,965","3,670,556","3,907,430","3,998,192","4,357,010","4,302,374","3,472,109","3,480,387","3,915,524","3,812,611","3,078,119","2,681,844","2,935,181","2,921,107","2,839,493","3,051,617","3,438,429","3,559,709","4,174,392","4,583,668","4,507,080"
Calipatria,"78,706","119,185","110,921","100,838","105,171","98,483","79,989","93,833","108,369","95,016","72,567","57,657","78,594","496,548","89,225",0,0,"211,871","35,737",0,"84,479"
El Centro,"4,735,001","5,759,032","5,911,043","6,066,293","6,347,814","7,053,567","6,332,845","7,540,905","7,531,367","7,595,993","7,150,407","6,497,316","7,655,415","7,808,160","7,931,891","8,022,402","8,277,562","9,161,080","11,961,648","12,352,343","12,932,895"
Holtville,"132,334","142,906","136,481","129,416","148,426","140,988","123,565","121,950","160,958","203,832","240,668","226,623","302,753","260,042","252,486","228,289","254,771","294,959","281,589","476,748","352,158"
Imperial,"1,440,440","839,125","827,554","879,390","795,768","1,016,764","1,098,252","1,332,988","1,121,688","1,101,352","1,417,794","1,331,993","757,788","1,346,076","1,455,392","1,430,115","1,513,837","1,664,036","1,907,610","2,388,813","2,247,894"
Westmorland,"94,038","120,911","146,325","113,777","127,712","117,424","127,542","140,559","142,383","191,212","177,564","126,019","104,791","122,549","122,896","117,078","121,716","104,257","132,308","138,881","170,635"
Inyo County unincorporated,"797,246","956,873","954,032","1,027,742","902,456","949,190","826,501","834,801","879,922","805,891","900,787","860,585","868,257","945,620","914,312","882,422","1,120,654","1,141,644","1,531,107","1,720,181","1,634,342"
Bishop,"1,507,039","1,618,018","1,552,862","1,642,218","1,699,969","1,705,523","1,551,646","1,578,120","1,577,718","1,680,778","1,424,163","1,356,867","1,491,334","1,576,637","1,641,471","1,489,764","1,455,219","1,690,323","1,973,219","1,906,574","2,194,006"
Kern County unincorporated,"17,825,172","19,484,276","21,307,669","22,849,724","22,169,505","23,507,948","22,318,332","24,565,699","27,017,097","29,529,541","30,348,373","23,440,273","31,188,191","43,327,235","36,948,825","41,950,404","42,336,295","37,334,107","43,878,887","39,729,812","48,600,452"
Arvin,"332,167","374,952","413,235","395,531","398,826","418,878","415,188","457,064","457,618","483,378","550,835","421,999","503,895","562,406","552,441","590,936","568,847","571,219","687,762","723,097","908,180"
Bakersfield,"33,609,980","37,468,902","40,635,639","43,055,189","45,325,335","48,055,222","43,714,444","48,594,006","48,561,108","46,057,626","43,391,493","36,914,503","42,997,380","47,666,800","51,699,062","52,032,164","50,580,038","55,625,147","64,477,643","70,124,313","74,638,031"
California City,"201,350","186,005","200,269","191,555","198,272","214,903","227,843","285,868","317,166","301,779","257,406","216,927","225,930","234,982","277,666","297,696","264,623","299,487","355,999","350,207","354,789"
Delano,"1,779,721","1,802,574","2,003,111","2,167,930","2,351,892","2,480,210","2,262,540","2,730,459","2,673,788","2,730,013","2,590,735","2,393,080","2,705,698","3,092,406","3,371,254","3,804,591","4,156,412","4,534,912","5,542,206","5,673,578","6,195,079"
Maricopa,"26,462","22,520","29,311","30,722","15,712","18,809","37,973","30,100","18,775","34,922","29,515","20,464","21,409","27,083","23,604","21,353","30,308","19,652","24,420","29,786","27,470"
McFarland,"134,665","149,221","169,591","159,974","160,512","175,578","170,036","172,871","202,759","215,453","185,706","172,394","193,371","200,787","253,311","255,355","251,638","315,549","375,103","357,774","388,154"
Ridgecrest,"1,994,185","2,100,688","2,412,156","2,430,025","2,567,863","2,571,360","2,201,245","2,426,042","2,446,952","2,304,566","2,241,346","2,019,551","2,129,361","2,227,144","2,026,195","2,039,687","2,112,742","2,453,879","3,142,606","3,213,623","3,367,974"
Shafter,"1,156,106","1,284,959","1,705,474","2,839,172","1,876,919","1,814,822","1,638,645","2,551,362","5,313,663","3,999,521","4,619,829","4,659,144","5,666,267","6,654,478","9,562,814","10,639,150","11,575,909","11,950,463","14,300,406","15,869,586","18,692,355"
Taft,"1,104,626","1,059,153","1,304,985","1,308,970","1,237,274","1,220,447","1,053,484","1,118,687","1,231,750","1,323,916","1,380,562","1,151,787","1,267,120","1,325,199","1,364,785","1,269,077","1,123,271","1,040,840","1,216,538","1,319,341","1,523,609"
Tehachapi,"729,733","770,628","918,844","834,670","922,764","1,010,526","945,803","1,027,217","1,170,918","1,269,964","1,117,443","1,052,214","1,292,554","1,633,327","1,741,627","1,877,370","2,045,264","1,727,115","2,364,093","2,525,429","3,133,004"
Wasco,"625,574","643,620","692,265","767,392","825,622","823,658","692,171","804,098","853,280","847,245","830,489","751,613","862,507","899,130","707,028","851,318","996,775","972,636","1,302,978","1,313,944","1,589,178"
Kings County unincorporated,"1,265,525","1,344,588","1,698,953","1,554,184","2,252,232","1,520,812","1,451,737","1,787,514","1,709,182","1,730,215","1,833,385","1,447,794","1,668,927","1,910,796","1,908,179","2,040,177","2,721,243","4,545,080","2,922,086","2,717,318","2,933,005"
Avenal,"119,397","124,589","137,245","134,301","149,707","136,530","116,992","153,133","173,430","177,658","168,537","154,457","162,165","189,404","201,994","204,862","224,138","256,642","267,992","267,406","338,826"
Corcoran,"604,798","925,693","822,289","833,350","816,821","778,526","783,443","829,940","816,162","1,011,402","1,118,432","574,004","681,200","782,936","806,300","762,160","748,868","873,124","1,013,804","997,442","1,047,251"
Hanford,"4,346,416","4,835,300","5,559,050","5,507,869","5,759,090","6,058,273","5,028,614","5,595,506","5,804,370","5,838,308","5,598,884","5,359,468","5,304,475","5,871,302","6,100,587","6,369,383","6,739,060","7,914,733","10,275,121","11,259,658","11,198,613"
Lemoore,"899,124","1,064,063","1,107,633","1,480,202","1,532,990","1,637,029","1,173,766","1,269,710","1,287,487","1,314,003","1,402,269","1,189,170","1,214,436","1,385,459","1,485,115","1,600,335","1,531,514","1,443,896","1,776,810","1,968,243","2,418,175"
Lake County unincorporated,"1,537,776","1,883,964","1,956,396","2,199,171","2,176,723","2,364,699","2,135,702","2,093,965","2,239,326","2,128,669","2,171,552","1,633,299","1,785,152","1,956,386","2,041,978","2,000,335","2,003,324","2,385,352","2,995,738","3,194,736","3,201,521"
Clearlake,"843,875","942,490","963,074","1,061,492","1,092,373","1,090,720","999,365","949,337","1,010,177","1,005,591","1,004,233","945,594","957,159","974,985","1,019,585","1,082,220","1,075,758","1,302,282","1,606,430","1,654,559","1,734,002"
Lakeport,"1,075,108","1,254,961","1,271,394","1,262,859","1,222,444","1,279,545","1,059,260","1,074,244","1,133,547","1,059,801","939,152","866,085","874,942","956,997","941,932","1,052,955","943,900","1,114,701","1,339,449","1,355,416","1,437,011"
Lassen County unincorporated,"682,600","730,423","698,115","785,404","836,925","913,187","806,761","848,855","783,826","816,969","587,081","541,483","590,909","679,711","702,185","747,165","804,126","1,031,420","1,299,516","1,428,805","1,129,289"
Susanville,"1,305,282","1,409,057","1,519,069","1,577,577","1,671,291","1,605,405","1,278,907","1,398,643","1,295,901","1,359,393","1,192,832","1,113,373","1,051,384","1,154,190","1,158,249","1,134,672","1,180,621","1,386,805","1,989,350","2,195,587","1,636,136"
