Incident Number,Incident Name,Incident Type,Latitude,Longitude,Size,Unit of Measure,Costs,Structures Destroyed,start_date,year,county
CA-KRN-030112,Deer,WF,35,119,311.0,Acres,0.0,0,2015-08-19,2015,Kern
CA-LPF-002288,Chorro,WF,35,119,282.0,Acres,1610000.0,0,2015-08-02,2015,Kern
CA-MCP-001207,CARL,WF,33,118,4000.0,Acres,1000.0,0,2015-04-28,2015,San Diego
CA-ORC-069367,241,WF,34,118,214.0,Acres,507000.0,2,2015-07-13,2015,Los Angeles
CA-YNP-000078,Middle,WF,38,120,260.0,Acres,55000.0,0,2015-07-27,2015,Tuolumne
CA-ANF-003128,PINES,WF,34,118,200.0,Acres,200000.0,0,2015-07-18,2015,Los Angeles
CA-BDF-009001,NORTH,WF,34,117,4250.0,Acres,2950000.0,23,2015-07-17,2015,San Bernardino
CA-BDF-010399,SUMMIT,WF,34,117,55.0,Acres,11600000.0,0,2015-08-23,2015,San Bernardino
CA-SLU-008555,CUESTA,WF,35,121,2446.0,Acres,15900000.0,1,2015-08-17,2015,San Luis Obispo
CA-LAC-173220,CALGROVE,WF,34,119,415.0,Acres,750000.0,0,2015-06-24,2015,Ventura
CA-MCP-001212,GRENADE,WF,33,117,2025.0,Acres,7500.0,0,2015-04-29,2015,San Diego
CA-SQF-002313,CABIN,WF,36,119,6980.0,Acres,7764389.0,0,2015-07-19,2015,Tulare
CA-TCU-009491,OAK,WF,38,120,108.0,Acres,697152.0,3,2015-09-08,2015,Tuolumne
CA-MVU-012844,WILDCAT,WF,33,117,171.0,Acres,766400.0,0,2015-06-18,2015,San Diego
CA-ANF-003651,WARM,WF,35,119,300.0,Acres,9000000.0,3,2015-08-16,2015,Kern
CA-FHL-001570,PEANUT,WF,36,121,1532.0,Acres,3900000.0,0,2015-06-11,2015,Monterey
CA-SLU-006113,PARKHILL,WF,35,120,1791.0,Acres,3500000.0,18,2015-06-20,2015,Santa Barbara
CA-ANF-003611,Cabin,WF,34,118,1723.0,Acres,3000000.0,3,2015-08-14,2015,Los Angeles
CA-SLU-007005,DEER,WF,36,121,95.0,Acres,2400000.0,0,2015-07-10,2015,Monterey
CA-MCP-001090,Windmill,WF,33,117,275.0,Acres,22000.0,0,2015-04-12,2015,San Diego
CA-SNF-001689,WILLOW,WF,37,120,5702.0,Acres,19000000.0,0,2015-07-25,2015,Madera
CA-RRU-044605,HIGHWAY,WF,34,118,1049.0,Acres,0.0,0,2015-04-19,2015,Los Angeles
CA-CNF-002466,CUTCA,WF,33,117,150.0,Acres,3000000.0,0,2015-07-24,2015,San Diego
CA-INF-001319,WALKER,WF,38,119,3676.0,Acres,6067783.52,0,2015-08-15,2015,Mono
CA-BEU-004218,LAURELES,WF,37,122,95.0,Acres,400000.0,0,2015-09-18,2015,Santa Cruz
CA-KRN-1530347,FLAT,WF,36,119,167.0,Acres,0.0,0,2015-08-20,2015,Tulare
CA-TUU-000381,TUU Lightning Complex,WF,36,119,446.0,Acres,1246369.0,0,2015-07-19,2015,Tulare
CA-YNP-000123,Tenaya,WF,38,120,415.0,Acres,1850000.0,0,2015-09-07,2015,Tuolumne
CA-SBC-007898,MESA,WF,35,120,211.0,Acres,1400000.0,0,2015-06-29,2015,Santa Barbara
CA-KNP-000044,Big Five,WF,36,118,265.0,Acres,50000.0,0,2015-06-17,2015,Kern
CA-MMU-011662,Corrine,WF,37,120,920.0,Acres,5600000.0,2,2015-06-19,2015,Madera
CA-MMU-013970,McCabe,WF,37,121,1333.0,Acres,725485.0,0,2015-07-19,2015,Merced
CA-BEU-004582,CIENEGA,WF,37,121,670.0,Acres,1800000.0,0,2015-10-12,2015,Merced
CA-LNU-009129,SAWMILL,WF,39,123,1547.0,Acres,2200000.0,0,2016-09-25,2016,Lake
CA-TGU-005731,COLYEAR,WF,40,123,464.0,Acres,1163035.0,0,2016-06-30,2016,Trinity
