year,acres_burned
1950.0,153.00217
1950.0,477.53848
1950.0,1941.8086
1950.0,522.32654
1950.0,1741.0338
1950.0,156.99934
1950.0,344.89392000000004
1950.0,114.41512
1950.0,22844.713
1950.0,433.42712
1950.0,153.87807
1950.0,3669.4976
1950.0,635.7346200000001
1950.0,2019.0513
1950.0,529.9093
1950.0,378.18494
1950.0,359.17514
1950.0,922.3059699999999
1950.0,333.72244
1950.0,309.27374
1950.0,3624.5469
1950.0,293.55576
1950.0,248.32179
1950.0,924.1201800000001
1950.0,279.95206
1950.0,407.2048
1950.0,706.1922599999999
1950.0,397.78806000000003
1950.0,288.87241
1950.0,138.73029
1950.0,2659.4949
1950.0,1247.5569
1950.0,416.05154
1950.0,2294.0449
1950.0,5332.3081
1950.0,5047.4458
1950.0,417.28506
1950.0,280.6066
1950.0,932.68915
1950.0,274.50266
1950.0,2995.4998
1950.0,5185.083
1950.0,191.53139
1950.0,1880.7883
1950.0,323.99966
1950.0,15428.317
1950.0,1178.2177
1950.0,2507.5144
1950.0,2941.0952
1950.0,5696.7041
1950.0,581.67889
1950.0,1273.4269
1950.0,25291.767999999996
1950.0,4309.0654
1950.0,1727.1208
1950.0,2830.095
1951.0,4417.0034
1951.0,3425.116
1951.0,564.5545
1951.0,3287.8113
1951.0,4178.7852
1951.0,5239.6548
1951.0,3093.6189
1951.0,329.91852
1951.0,329.26706
1951.0,571.40521
1951.0,629.0246599999999
1951.0,1195.6775
1951.0,585.52417
1951.0,14205.014
1951.0,643.3266
1951.0,1412.0403
1951.0,356.21558
1951.0,1714.1245
1951.0,417.84213
1951.0,355.53839
1951.0,1023.4692
1951.0,1499.1139
1951.0,628.64105
1951.0,206.73468
1951.0,199.89366
1951.0,3212.8589
1951.0,165.48785
1951.0,115.34586999999999
1951.0,1703.9048
1951.0,370.29965
1951.0,1008.5561
1951.0,102.05008000000001
1951.0,101.96849
1951.0,263.08398
1951.0,151.53557
1951.0,803.61108
1951.0,523.0719
1951.0,2348.2527
1951.0,948.9445800000001
1951.0,4252.4712
1951.0,754.28381
1951.0,924.00421
1951.0,1401.8663
1951.0,902.4717400000001
1951.0,10487.111
1951.0,187.06192
1951.0,634.4691799999999
1951.0,200.96027
1951.0,7387.2759
1951.0,473.85168
1951.0,21978.766
1951.0,1330.0342
1951.0,325.6951
1951.0,1132.7201
1951.0,8782.3545
1951.0,315.94849
1951.0,1504.0684
1951.0,241.8718
1951.0,6202.4443
1951.0,436.06757000000005
1951.0,802.63574
1951.0,6675.7319
1951.0,717.50433
1951.0,29522.593999999997
1951.0,115.50565
1951.0,199.79758
1951.0,175.62553
1951.0,1303.0686
1951.0,124.49585
1951.0,620.11353
1951.0,327.93518
1951.0,932.42584
1951.0,4883.3325
1951.0,1303.0774
1951.0,167.29048
1951.0,318.63338999999996
1951.0,239.01219
1951.0,4254.042
1951.0,1366.1926
1951.0,292.68484
1951.0,659.42242
1951.0,4844.9214
1951.0,171.80281000000002
1951.0,1226.6295
1951.0,367.53333
1951.0,661.72186
1951.0,1202.0330000000001
1951.0,532.16827
1951.0,724.58563
1951.0,131.8783
1951.0,629.11469
1951.0,535.90674
1951.0,5363.2446
1951.0,2340.5012
1951.0,468.08365
1951.0,440.33099000000004
1951.0,18253.57
1951.0,2627.9092
1951.0,805.6439799999999
1951.0,4228.6562
1951.0,6753.5498
1951.0,1624.1797
1951.0,388.38565
1951.0,1190.4388
1951.0,376.3952
1951.0,1078.1583
1951.0,642.17249
1951.0,802.44971
1951.0,614.9110099999999
1951.0,3446.8608
1951.0,738.0217299999999
1951.0,577.9993900000001
1951.0,1104.5815
1951.0,1387.3544
1951.0,769.8974599999999
1951.0,3852.0532
1951.0,221.06476
1951.0,829.45465
1951.0,354.7558
1951.0,525.92267
1951.0,1829.6069
1951.0,1049.7963
1951.0,2591.9912
1951.0,879.7102699999999
1951.0,3368.8125
1951.0,378.84479
1951.0,809.7149
1951.0,1399.6163
1951.0,351.26111000000003
1951.0,585.26202
1951.0,311.81509
1951.0,1425.5518
1951.0,332.06143
1951.0,534.59235
1951.0,321.52069
1951.0,257.85757
1951.0,471.25095
1951.0,1178.3538
1951.0,140.07034
1951.0,1280.1146
1951.0,246.41518
1951.0,115.16713
1951.0,367.56808
1951.0,243.01178
1951.0,604.46564
1951.0,162.71521
1951.0,114.97406000000001
1951.0,1611.8611
1951.0,156.18092
1951.0,759.87579
1951.0,560.6842
1951.0,4298.7344
1951.0,303.17221
1951.0,189.29422
1951.0,931.8687699999999
1951.0,1840.7485
1951.0,1457.5616
1951.0,819.47229
1951.0,306.82657
1951.0,216.29379
1951.0,404.50571
1951.0,177.79543999999999
1951.0,629.05511
1951.0,570.63745
1951.0,480.63083
1951.0,8289.2246
1951.0,344.61292000000003
1952.0,429.64725
1952.0,5458.4531
1952.0,731.52051
1952.0,8644.6807
1952.0,1369.4911
1952.0,1287.6238
1952.0,218.98306000000002
1952.0,456.22095
1952.0,454.3313
1952.0,402.55914
1952.0,424.47012
1952.0,642.9066799999999
1952.0,3450.0718
1952.0,150.25168
1952.0,441.97025
1952.0,794.46912
1952.0,1176.2438
1952.0,443.60999000000004
1952.0,906.9563
1952.0,1115.3101
1952.0,731.38153
1952.0,333.53659
1952.0,563.55261
1952.0,390.92767000000003
1952.0,247.77005
1952.0,1183.5388
1952.0,546.00842
1952.0,3574.2598
1952.0,297.56847999999997
1952.0,4877.2686
1952.0,579.84869
1952.0,1545.3029999999999
1952.0,436.61855999999995
1952.0,402.45517
1952.0,327.77155
1952.0,136.06953000000001
1952.0,557.14844
1952.0,479.91147
1952.0,4484.6333
1952.0,1324.0278
1952.0,2617.7627
1952.0,421.69724
1952.0,463.49672999999996
1952.0,416.01434
1952.0,1504.2506
1952.0,438.01614000000006
1952.0,114.9397
1952.0,1117.0614
1952.0,199.66901000000001
1952.0,105.26834
1952.0,137.9202
1952.0,105.41991000000002
1952.0,120.93615
1952.0,515.07355
1952.0,1251.7778
1952.0,387.28927999999996
1952.0,5604.7949
1952.0,1360.514
1952.0,658.37238
1952.0,2072.1392
1952.0,128.47898999999998
1952.0,7219.2197
1952.0,1755.2620000000002
1952.0,441.45662999999996
1952.0,1037.2466
1952.0,351.06842
1952.0,430.52563
1952.0,928.24994
1952.0,179.43419
1952.0,417.39172
1952.0,376.21466000000004
1952.0,150.22752
1952.0,1221.4036
1952.0,350.56857
1952.0,5178.1108
1952.0,298.48749
1952.0,115.72103999999999
1952.0,171.98468
1952.0,692.0022
1952.0,1254.5973
1952.0,383.77371
1952.0,395.33252000000005
1952.0,808.43903
1952.0,799.84326
1952.0,1259.134
1952.0,400.81104
