Incident Number,Incident Name,Incident Type,Latitude,Longitude,Size,Unit of Measure,Costs,Structures Destroyed,Fire Name,start_date,year,county,cost_per_acre,structures_per_acre
CA-SLU-007101,HILL,WF,35,120,1598.0,Acres,4581300.0,4,HILL,2017-06-26,2017,Santa Barbara,2866.896120150188,0.0025031289111389237
CA-RRU-094091,ROSE,WF,34,117,188.0,Acres,2000000.0,0,ROSE,2017-07-31,2017,San Bernardino,10638.297872340425,0.0
CA-RRU-108660,PALMER,WF,34,117,3874.0,Acres,2609149.0,0,PALMER,2017-09-02,2017,San Bernardino,673.5025813113061,0.0
CA-LAC-362189,CREEK,WF,34,118,15619.0,Acres,17577000.0,123,CREEK,2017-12-05,2017,Los Angeles,1125.3601382931045,0.00787502400921954
CA-BDF-009443,HOLCOMB,WF,34,117,1503.0,Acres,7445000.0,0,HOLCOMB,2017-06-19,2017,San Bernardino,4953.426480372588,0.0
CA-FKU-009289,DERRICK,WF,36,120,1538.0,Acres,1105059.0,0,DERRICK,2017-07-03,2017,Kings,718.5039011703511,0.0
CA-ORC-105068,Canyon,WF,34,118,2662.0,Acres,11131813.0,0,CANYON,2017-09-25,2017,Los Angeles,4181.747933884298,0.0
CA-SNF-001419,CROWN,WF,37,119,165.0,Acres,25000.0,0,CROWN,2017-08-03,2017,Fresno,151.5151515151515,0.0
CA-SQF-001317,SCHAEFFER,WF,36,118,16031.0,Acres,16079800.0,0,SCHAEFFER,2017-06-24,2017,Kern,1003.0441020522737,0.0
CA-TUU-000286,DINELY,WF,36,119,339.0,Acres,2244949.0,0,DINELY,2017-06-07,2017,Tulare,6622.2684365781715,0.0
CA-RRU-100198,MIAS,WF,34,117,545.0,Acres,3800000.0,0,MIAS,2017-08-14,2017,San Bernardino,6972.477064220184,0.0
CA-LAC-362441,RYE,WF,34,119,6049.0,Acres,7204367.0,6,RYE,2017-12-05,2017,Ventura,1191.00132253265,0.000991899487518598
CA-MVU-016909,JENNINGS,WF,33,117,400.0,Acres,914236.0,0,JENNINGS,2017-07-11,2017,San Diego,2285.59,0.0
CA-SQF-002385,PIER,WF,36,119,36556.0,Acres,38760000.0,2,PIER,2017-08-29,2017,Tulare,1060.2910602910604,5.47105810263705e-05
CA-YNP-000108,South Fork,WF,38,120,7564.0,Acres,8607455.0,0,SOUTH FORK,2017-08-13,2017,Tuolumne,1137.9501586462188,0.0
CA-SLU-007624,ALAMO,WF,35,120,28687.0,Acres,19900000.0,14,ALAMO,2017-07-06,2017,Santa Barbara,693.694007738697,0.00048802593509255065
CA-MNF-000874,EEL,WF,40,123,972.0,Acres,1300000.0,10,EEL,2018-07-31,2018,Trinity,1337.4485596707818,0.0102880658436214
CA-TGU-009672,Sun,WF,40,122,3889.0,Acres,1500000.0,0,SUN,2018-10-07,2018,Tehama,385.7032656209823,0.0
CA-LMU-003203,HYATT,WF,40,120,441.0,Acres,500000.0,9,HYATT,2018-06-27,2018,Lassen,1133.7868480725624,0.02040816326530612
CA-SHF-001444,DELTA,WF,41,122,63311.0,Acres,64429020.0,45,DELTA,2018-09-05,2018,Shasta,1017.6591745510259,0.0007107769581905199
CA-SHF-001223,HIRZ,WF,41,122,46150.0,Acres,55511216.0,0,HIRZ,2018-08-09,2018,Shasta,1202.8432502708558,0.0
CA-SKU-004641,KLAMATHON,WF,42,123,38008.0,Acres,33500000.0,82,KLAMATHON,2018-07-05,2018,Siskiyou,881.3933908650811,0.00215744053883393
CA-TGU-006031,LANE,WF,40,122,3716.0,Acres,8250000.0,0,LANE,2018-06-23,2018,Tehama,2220.129171151776,0.0
CA-AEU-018720,IRISH,WF,38,121,825.0,Acres,600000.0,7,IRISH,2018-07-06,2018,San Joaquin,727.2727272727273,0.008484848484848486
CA-NOD-003575,EAGLE,WF,41,120,2100.0,Acres,570000.0,0,EAGLE,2018-07-14,2018,Lassen,271.42857142857144,0.0
CA-SCU-003726,Grant,WF,38,122,484.0,Acres,350000.0,6,GRANT,2018-05-30,2018,Contra Costa,723.1404958677685,0.012396694214876033
CA-BTU-016272,JUNE,WF,39,122,550.0,Acres,200000.0,0,JUNE,2018-10-30,2018,Colusa,363.6363636363636,0.0
CA-SHF-000382,GRAPE,WF,41,124,226.0,Acres,2200000.0,0,GRAPE,2018-04-24,2018,Humboldt,9734.513274336283,0.0
CA-SHU-006565,CREEK,WF,41,122,1678.0,Acres,3445758.0,11,CREEK,2018-06-24,2018,Shasta,2053.491060786651,0.006555423122765197
CA-KNF-004499,PETERSBURG,WF,41,123,215.0,Acres,1720000.0,2,PETERSBURG,2018-07-01,2018,Siskiyou,8000.0,0.009302325581395349
CA-TGU-005555,APPLE,WF,40,122,2956.0,Acres,184857.0,9,APPLE,2018-06-09,2018,Tehama,62.53619756427605,0.003044654939106901
CA-TGU-005560,CHROME,WF,40,123,2290.0,Acres,935778.0,1,CHROME,2018-06-09,2018,Trinity,408.6366812227074,0.0004366812227074236
CA-LNU-009002,PAWNEE,WF,39,123,15185.0,Acres,36500000.0,22,PAWNEE,2018-06-24,2018,Lake,2403.6878498518277,0.0014487981560750741
CA-NEU-008412,Butte Fire,WF,39,122,1200.0,Acres,110000.0,0,BUTTE FIRE,2018-08-01,2018,Colusa,91.66666666666667,0.0
