City,County,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Siskiyou County,SISKIYOU,76.49 ,81.56 ,89.09 ,87.11 ,91.63 ,93.07 ,81.47 ,82.16 ,85.74 ,85.20 ,80.73 ,70.27 ,74.18 ,86.54 ,87.83 ,91.91 ,96.10 ,107.84 ,130.16 ,136.39 ,140.90 
Solano County,SOLANO,90.31 ,104.19 ,114.31 ,117.71 ,126.54 ,129.93 ,110.55 ,113.83 ,112.10 ,108.34 ,102.30 ,95.69 ,95.65 ,106.36 ,111.86 ,111.30 ,120.32 ,134.87 ,169.07 ,175.11 ,186.94 
Sonoma County,SONOMA,124.12 ,138.09 ,150.39 ,143.54 ,143.53 ,146.51 ,121.70 ,123.73 ,125.07 ,121.19 ,108.81 ,96.68 ,102.16 ,108.67 ,114.19 ,122.79 ,127.65 ,143.21 ,181.30 ,191.88 ,207.17 
Stanislaus County,STANISLAUS,99.53 ,108.90 ,117.08 ,119.25 ,123.64 ,129.04 ,108.70 ,110.04 ,105.69 ,100.14 ,92.86 ,84.52 ,90.56 ,97.45 ,103.37 ,109.44 ,111.97 ,126.09 ,161.74 ,163.96 ,174.73 
Sutter County,SUTTER,102.55 ,109.55 ,132.36 ,123.05 ,131.78 ,131.17 ,114.48 ,118.36 ,114.22 ,109.21 ,95.94 ,93.86 ,97.05 ,106.21 ,111.10 ,114.82 ,121.00 ,137.44 ,164.53 ,173.48 ,180.61 
Tehama County,TEHAMA,74.40 ,80.94 ,85.64 ,88.32 ,92.54 ,97.51 ,81.66 ,88.16 ,93.54 ,88.99 ,75.73 ,62.73 ,73.68 ,83.39 ,93.21 ,97.99 ,92.50 ,99.50 ,125.99 ,127.05 ,138.02 
Trinity County UNINCORPORATED,TRINITY,41.32 ,50.28 ,48.26 ,47.91 ,51.93 ,50.36 ,43.91 ,40.17 ,41.39 ,40.50 ,39.35 ,39.85 ,46.89 ,47.05 ,47.71 ,53.58 ,57.46 ,66.94 ,82.81 ,83.73 ,82.55 
Tulare County,TULARE,79.17 ,85.18 ,87.15 ,86.53 ,91.17 ,93.59 ,79.81 ,84.80 ,85.91 ,84.24 ,77.70 ,68.92 ,80.58 ,87.14 ,92.15 ,95.26 ,100.93 ,112.78 ,147.89 ,153.65 ,161.49 
Tuolumne County,TUOLUMNE,79.51 ,87.47 ,94.34 ,96.72 ,100.30 ,104.07 ,90.23 ,87.39 ,86.43 ,84.65 ,78.03 ,69.63 ,74.30 ,80.29 ,82.60 ,83.31 ,85.53 ,97.63 ,129.72 ,133.47 ,138.21 
Ventura County,VENTURA,103.49 ,114.92 ,122.49 ,123.82 ,126.14 ,133.37 ,110.88 ,113.24 ,112.96 ,113.32 ,100.46 ,89.68 ,94.01 ,99.82 ,104.49 ,130.71 ,118.81 ,133.37 ,161.21 ,162.80 ,176.05 
