City,County,FY1998-99,FY1999-00,FY2000-01,FY2001-02,FY2002-03,FY2003-04,FY2004-05,FY2005-06,FY2006-07,FY2007-08,FY2008-09,FY2009-10,FY2010-11,FY2011-12,FY2012-13,FY2013-14,FY2014-15,FY2015-16,FY2016-17,FY2017-18,FY2018-19
Carson,Los Angeles,174.58 ,192.63 ,199.82 ,211.67 ,200.59 ,212.72 ,156.04 ,155.37 ,154.21 ,158.54 ,143.02 ,118.84 ,144.82 ,170.40 ,173.72 ,189.97 ,171.26 ,215.33 ,266.15 ,255.01 ,302.56 
Cerritos,Los Angeles,391.17 ,419.84 ,501.54 ,466.43 ,478.69 ,484.19 ,381.05 ,370.66 ,355.57 ,344.48 ,288.84 ,245.85 ,314.36 ,349.88 ,392.11 ,392.90 ,417.35 ,513.18 ,663.95 ,658.74 ,681.28 
Claremont,Los Angeles,73.28 ,81.82 ,92.42 ,99.75 ,114.31 ,132.27 ,105.98 ,100.92 ,99.17 ,84.59 ,60.98 ,51.66 ,53.97 ,65.92 ,72.50 ,72.60 ,75.93 ,84.95 ,102.87 ,118.68 ,124.57 
Commerce,Los Angeles,785.60 ,870.66 ,881.83 ,766.73 ,817.99 ,857.42 ,800.75 ,837.39 ,875.08 ,901.27 ,809.55 ,658.90 ,783.02 ,972.81 ,"1,051.97 ","1,144.89 ","1,194.08 ","1,231.48 ","1,525.39 ","1,558.69 ","1,752.11 "
Compton,Los Angeles,58.31 ,57.87 ,60.34 ,57.52 ,52.15 ,47.50 ,46.19 ,40.47 ,40.73 ,45.42 ,47.59 ,48.34 ,48.26 ,52.31 ,57.96 ,56.15 ,59.03 ,64.03 ,83.95 ,95.33 ,92.80 
Covina,Los Angeles,129.20 ,136.09 ,152.42 ,147.73 ,143.88 ,165.31 ,135.96 ,140.23 ,133.93 ,132.46 ,109.53 ,94.90 ,102.64 ,109.91 ,116.88 ,117.86 ,119.89 ,159.84 ,188.00 ,186.42 ,193.53 
Cudahy,Los Angeles,39.88 ,43.70 ,49.34 ,46.20 ,41.55 ,51.11 ,43.82 ,48.64 ,46.98 ,42.75 ,35.53 ,26.65 ,34.83 ,36.91 ,36.46 ,36.89 ,39.79 ,38.55 ,50.71 ,50.18 ,46.57 
Culver City,Los Angeles,282.57 ,313.57 ,367.91 ,356.94 ,368.29 ,394.62 ,327.26 ,330.48 ,333.61 ,326.56 ,297.76 ,273.01 ,309.49 ,326.87 ,342.22 ,351.65 ,372.50 ,408.44 ,517.93 ,530.51 ,523.58 
Diamond Bar,Los Angeles,45.18 ,47.58 ,50.93 ,50.85 ,50.22 ,52.78 ,45.63 ,48.71 ,49.23 ,51.39 ,38.39 ,38.24 ,43.81 ,45.97 ,46.41 ,47.72 ,53.80 ,62.91 ,86.96 ,86.25 ,95.17 
Downey,Los Angeles,110.16 ,118.72 ,116.25 ,116.92 ,116.67 ,115.11 ,96.77 ,99.70 ,104.12 ,103.09 ,89.77 ,78.61 ,86.42 ,92.72 ,103.25 ,108.44 ,109.72 ,128.57 ,173.30 ,183.18 ,197.61 
Duarte,Los Angeles,119.83 ,142.75 ,174.58 ,178.17 ,182.17 ,189.99 ,161.71 ,163.72 ,161.15 ,145.42 ,123.52 ,130.63 ,151.79 ,151.73 ,163.69 ,170.64 ,178.52 ,205.17 ,238.29 ,238.19 ,257.66 
El Monte,Los Angeles,108.32 ,124.03 ,134.17 ,140.05 ,136.55 ,142.43 ,114.13 ,116.37 ,116.81 ,108.75 ,78.98 ,67.97 ,77.91 ,85.08 ,92.79 ,95.30 ,100.19 ,114.49 ,143.91 ,141.86 ,151.47 
El Segundo,Los Angeles,403.56 ,509.18 ,519.12 ,572.39 ,434.17 ,491.14 ,485.11 ,502.19 ,478.78 ,555.54 ,555.01 ,460.21 ,492.12 ,485.42 ,415.51 ,471.52 ,504.21 ,544.47 ,686.79 ,661.78 ,653.98 
Gardena,Los Angeles,109.19 ,119.62 ,129.91 ,121.18 ,121.86 ,130.21 ,107.50 ,107.78 ,112.80 ,113.50 ,98.23 ,85.30 ,91.78 ,105.38 ,110.43 ,115.43 ,121.29 ,144.36 ,180.00 ,186.32 ,200.44 
Glendale,Los Angeles,118.95 ,128.09 ,136.88 ,137.65 ,133.06 ,138.25 ,112.11 ,113.74 ,109.96 ,111.54 ,102.89 ,91.53 ,103.73 ,111.39 ,115.22 ,117.36 ,157.53 ,195.04 ,215.12 ,226.75 ,220.13 
Glendora,Los Angeles,75.37 ,89.04 ,103.05 ,112.07 ,122.35 ,129.59 ,109.71 ,105.19 ,101.96 ,106.35 ,95.34 ,88.45 ,94.43 ,104.29 ,111.39 ,114.34 ,114.86 ,130.29 ,158.86 ,166.31 ,176.72 
Hawaiian Gardens,Los Angeles,42.56 ,43.18 ,43.72 ,34.81 ,36.38 ,37.55 ,30.81 ,31.32 ,32.49 ,32.05 ,32.15 ,29.34 ,34.09 ,38.79 ,37.49 ,40.34 ,43.44 ,51.26 ,63.64 ,60.02 ,66.06 
Hawthorne,Los Angeles,70.91 ,76.32 ,82.32 ,83.49 ,89.36 ,106.49 ,90.05 ,98.22 ,94.30 ,92.10 ,87.34 ,83.06 ,95.58 ,104.85 ,109.89 ,114.78 ,123.12 ,144.39 ,169.58 ,184.08 ,203.86 
Hermosa Beach,Los Angeles,110.36 ,121.02 ,142.40 ,138.75 ,130.25 ,132.44 ,105.97 ,93.16 ,93.01 ,95.67 ,94.27 ,80.29 ,85.14 ,92.51 ,95.91 ,100.17 ,104.29 ,116.18 ,143.42 ,155.93 ,154.42 
Hidden Hills,Los Angeles,12.61 ,11.83 ,9.99 ,8.07 ,8.83 ,8.59 ,13.50 ,13.99 ,12.02 ,0.28 ,6.22 ,5.61 ,3.55 ,3.78 ,7.23 ,7.19 ,5.65 ,4.05 ,2.12 ,14.70 ,6.28 
Huntington Park,Los Angeles,354.42 ,64.24 ,70.25 ,74.63 ,77.68 ,85.43 ,74.95 ,92.92 ,78.09 ,79.38 ,66.94 ,58.83 ,70.50 ,71.85 ,70.52 ,78.89 ,81.88 ,93.26 ,114.27 ,113.23 ,118.68 
Industry,Los Angeles,"34,186.55 ","36,555.79 ","32,656.79 ","32,470.93 ","33,715.49 ","35,009.85 ","29,723.36 ","31,019.51 ","31,502.03 ","31,063.62 ","24,851.82 ","21,522.40 ","42,479.73 ","51,591.70 ","53,717.74 ","63,055.89 ","53,418.12 ","58,468.90 ","73,690.25 ","82,013.11 ","80,273.36 "
Inglewood,Los Angeles,53.98 ,52.80 ,79.73 ,72.95 ,70.45 ,69.55 ,64.34 ,68.43 ,72.05 ,69.54 ,67.06 ,60.01 ,69.18 ,75.25 ,78.27 ,83.10 ,87.50 ,100.54 ,122.99 ,139.83 ,157.55 
Irwindale,Los Angeles,"2,386.16 ","2,712.28 ","2,458.45 ","2,364.60 ","2,476.57 ","2,578.90 ","2,439.87 ","2,254.64 ","2,384.64 ","2,278.66 ","2,021.63 ","1,654.71 ","2,240.71 ","1,840.50 ","1,883.91 ","2,116.71 ","2,203.70 ","2,120.47 ","2,723.92 ","2,864.71 ","2,649.33 "
La Canada Flintridge,Los Angeles,77.67 ,81.45 ,87.85 ,83.16 ,85.59 ,88.05 ,72.83 ,72.20 ,71.74 ,76.54 ,71.53 ,69.05 ,75.95 ,84.04 ,88.79 ,96.08 ,98.39 ,105.38 ,131.88 ,129.04 ,139.74 
La Habra Heights,Los Angeles,8.16 ,8.24 ,13.17 ,11.08 ,16.92 ,6.47 ,7.54 ,4.35 ,3.36 ,6.34 ,5.49 ,4.55 ,3.32 ,4.35 ,5.11 ,4.33 ,3.27 ,5.37 ,6.71 ,7.46 ,7.91 
La Mirada,Los Angeles,145.01 ,151.79 ,174.92 ,136.32 ,132.74 ,180.07 ,158.13 ,153.16 ,168.60 ,156.99 ,144.10 ,117.08 ,136.68 ,147.66 ,154.42 ,138.80 ,143.94 ,166.57 ,210.45 ,212.87 ,223.48 
La Puente,Los Angeles,46.89 ,54.59 ,56.36 ,63.22 ,55.86 ,58.47 ,44.04 ,43.37 ,44.22 ,41.41 ,35.82 ,34.41 ,42.66 ,44.83 ,43.08 ,44.37 ,49.60 ,60.10 ,75.47 ,76.66 ,83.47 
La Verne,Los Angeles,69.29 ,71.85 ,89.50 ,89.61 ,90.01 ,97.47 ,85.98 ,82.85 ,87.35 ,91.88 ,84.28 ,72.02 ,84.39 ,91.20 ,88.20 ,89.51 ,93.08 ,106.89 ,127.86 ,130.02 ,136.68 
Lakewood,Los Angeles,93.24 ,101.14 ,114.74 ,118.88 ,123.47 ,130.19 ,110.27 ,108.36 ,103.36 ,102.54 ,95.49 ,94.28 ,103.37 ,110.81 ,119.34 ,118.57 ,122.54 ,137.78 ,172.45 ,174.06 ,176.87 
Lancaster,Los Angeles,82.16 ,93.04 ,104.41 ,105.84 ,109.00 ,124.73 ,106.29 ,107.11 ,107.76 ,95.06 ,79.54 ,73.53 ,71.01 ,79.10 ,81.64 ,83.42 ,85.27 ,99.12 ,124.71 ,127.90 ,142.20 
Lawndale,Los Angeles,61.76 ,66.00 ,65.07 ,64.10 ,64.70 ,69.37 ,60.77 ,63.96 ,65.13 ,63.68 ,55.53 ,47.44 ,53.22 ,56.82 ,56.44 ,56.45 ,59.29 ,69.45 ,86.31 ,87.37 ,92.57 
Lomita,Los Angeles,52.97 ,59.01 ,63.35 ,66.40 ,65.04 ,65.27 ,55.17 ,58.58 ,58.91 ,59.89 ,53.32 ,50.25 ,57.45 ,60.99 ,66.15 ,65.10 ,62.64 ,68.68 ,80.21 ,87.26 ,89.24 
Long Beach,Los Angeles,62.11 ,73.12 ,85.62 ,80.73 ,85.22 ,84.64 ,75.60 ,77.93 ,76.78 ,85.45 ,75.33 ,75.82 ,87.24 ,99.10 ,90.02 ,93.11 ,89.93 ,99.78 ,120.84 ,123.80 ,145.67 
Los Angeles,Los Angeles,81.43 ,86.88 ,95.74 ,92.43 ,94.35 ,96.73 ,80.58 ,81.40 ,83.13 ,83.50 ,76.76 ,68.45 ,77.92 ,84.48 ,87.17 ,90.42 ,93.58 ,104.82 ,129.48 ,130.85 ,143.96 
Lynwood,Los Angeles,29.13 ,32.71 ,34.41 ,31.51 ,34.03 ,38.22 ,33.97 ,34.77 ,36.80 ,36.52 ,35.03 ,31.35 ,34.85 ,36.18 ,37.20 ,37.55 ,37.94 ,44.20 ,54.42 ,55.64 ,62.19 
Malibu,Los Angeles,126.16 ,133.98 ,144.78 ,150.56 ,175.15 ,165.53 ,133.81 ,129.23 ,131.10 ,139.55 ,134.36 ,132.27 ,144.65 ,151.76 ,165.74 ,183.61 ,197.55 ,214.12 ,281.22 ,282.98 ,298.63 
Manhattan Beach,Los Angeles,172.54 ,192.16 ,206.87 ,198.96 ,190.94 ,197.87 ,165.25 ,167.05 ,166.14 ,170.10 ,155.96 ,150.54 ,181.50 ,198.44 ,208.80 ,201.57 ,206.24 ,204.43 ,250.42 ,246.58 ,256.47 
Maywood,Los Angeles,28.08 ,26.39 ,31.90 ,30.70 ,29.57 ,29.06 ,25.30 ,27.04 ,26.31 ,27.46 ,25.52 ,23.88 ,29.40 ,32.42 ,31.88 ,31.07 ,36.52 ,35.32 ,46.51 ,52.72 ,62.63 
Monrovia,Los Angeles,152.15 ,168.11 ,202.07 ,205.04 ,204.65 ,204.29 ,175.31 ,177.24 ,170.77 ,162.46 ,149.64 ,132.15 ,151.62 ,171.86 ,170.76 ,167.42 ,176.29 ,210.63 ,251.66 ,250.88 ,276.29 
Montebello,Los Angeles,143.86 ,150.58 ,154.96 ,148.17 ,151.96 ,150.53 ,137.61 ,138.87 ,145.59 ,136.85 ,109.76 ,106.02 ,123.11 ,127.04 ,128.53 ,142.15 ,144.29 ,169.63 ,223.16 ,206.51 ,207.83 
Monterey Park,Los Angeles,91.37 ,52.48 ,64.13 ,69.30 ,70.31 ,77.52 ,55.82 ,57.85 ,57.68 ,55.72 ,45.57 ,45.04 ,51.59 ,55.65 ,57.79 ,58.89 ,66.09 ,78.09 ,95.98 ,94.07 ,122.11 
Norwalk,Los Angeles,57.25 ,65.90 ,70.66 ,69.46 ,72.98 ,76.71 ,68.69 ,67.00 ,64.86 ,66.88 ,58.96 ,53.53 ,58.07 ,62.19 ,64.76 ,64.35 ,67.23 ,75.96 ,95.96 ,99.44 ,116.40 
Palmdale,Los Angeles,69.33 ,76.48 ,87.14 ,90.78 ,95.17 ,116.01 ,97.26 ,99.00 ,96.03 ,86.36 ,72.58 ,68.99 ,70.41 ,73.86 ,75.83 ,75.85 ,79.67 ,93.08 ,115.27 ,124.54 ,133.94 
Palos Verdes Estates,Los Angeles,15.32 ,16.25 ,20.20 ,17.65 ,15.80 ,17.13 ,13.74 ,13.73 ,15.80 ,13.59 ,12.12 ,10.68 ,10.88 ,10.63 ,11.82 ,13.09 ,14.66 ,15.47 ,16.68 ,17.82 ,18.98 
Paramount,Los Angeles,83.21 ,89.56 ,94.15 ,89.77 ,96.41 ,102.18 ,88.68 ,96.15 ,100.11 ,96.04 ,85.62 ,77.37 ,90.68 ,105.23 ,103.45 ,103.79 ,99.70 ,105.61 ,130.84 ,137.43 ,147.76 
Pasadena,Los Angeles,177.28 ,182.63 ,200.44 ,204.77 ,206.89 ,220.47 ,182.88 ,174.29 ,175.72 ,179.02 ,163.44 ,142.03 ,159.60 ,163.20 ,170.51 ,170.46 ,177.33 ,197.93 ,243.95 ,234.42 ,257.65 
Pico Rivera,Los Angeles,64.46 ,68.42 ,78.30 ,62.85 ,82.49 ,95.62 ,82.07 ,87.27 ,84.94 ,87.02 ,84.49 ,76.86 ,83.10 ,86.51 ,95.78 ,94.75 ,94.80 ,109.45 ,137.28 ,140.73 ,154.23 
Pomona,Los Angeles,71.30 ,75.42 ,77.71 ,76.13 ,76.26 ,83.17 ,67.26 ,82.27 ,74.06 ,75.60 ,59.97 ,58.19 ,58.13 ,62.61 ,72.62 ,82.98 ,81.59 ,80.78 ,104.39 ,110.12 ,114.04 
Rancho Palos Verdes,Los Angeles,18.11 ,19.37 ,21.95 ,21.84 ,21.50 ,23.49 ,19.99 ,18.82 ,20.09 ,20.86 ,21.94 ,24.44 ,32.87 ,32.63 ,34.86 ,36.78 ,39.23 ,45.13 ,55.76 ,56.46 ,60.24 
Redondo Beach,Los Angeles,104.53 ,118.96 ,132.98 ,120.74 ,121.36 ,127.09 ,106.27 ,110.28 ,111.75 ,110.26 ,98.22 ,89.60 ,98.89 ,107.85 ,109.96 ,114.78 ,122.34 ,130.05 ,149.46 ,146.78 ,151.88 
Rolling Hills,Los Angeles,1.48 ,2.84 ,8.93 ,5.68 ,0.80 ,0.00 ,1.44 ,5.35 ,4.02 ,6.58 ,3.33 ,0.00 ,0.00 ,1.49 ,1.33 ,1.34 ,3.14 ,3.73 ,3.88 ,2.49 ,3.41 
Rolling Hills Estates,Los Angeles,122.53 ,125.72 ,186.26 ,175.45 ,182.61 ,183.28 ,152.69 ,152.11 ,148.90 ,147.77 ,126.11 ,111.60 ,114.09 ,108.43 ,109.77 ,112.01 ,110.62 ,109.98 ,143.07 ,154.29 ,154.06 
Rosemead,Los Angeles,45.19 ,47.20 ,53.94 ,49.11 ,53.70 ,55.28 ,45.32 ,44.56 ,43.87 ,48.64 ,63.46 ,49.63 ,52.97 ,55.47 ,56.03 ,60.96 ,62.36 ,70.01 ,95.84 ,105.84 ,100.96 
San Dimas,Los Angeles,105.60 ,102.29 ,105.11 ,107.56 ,114.89 ,129.25 ,119.43 ,122.14 ,124.21 ,127.98 ,123.76 ,128.63 ,113.56 ,131.78 ,125.35 ,121.66 ,128.57 ,141.04 ,172.43 ,181.02 ,192.26 
San Fernando,Los Angeles,160.47 ,169.45 ,189.05 ,175.30 ,187.10 ,186.63 ,168.75 ,159.83 ,136.21 ,125.94 ,109.45 ,99.65 ,93.90 ,101.16 ,108.26 ,118.14 ,133.98 ,153.56 ,210.15 ,214.99 ,216.52 
San Gabriel,Los Angeles,74.35 ,79.61 ,81.71 ,82.47 ,83.53 ,85.51 ,71.31 ,68.88 ,70.22 ,66.45 ,60.43 ,52.70 ,64.13 ,69.20 ,74.67 ,73.41 ,75.38 ,77.79 ,97.88 ,97.13 ,103.85 
San Marino,Los Angeles,27.35 ,31.58 ,33.51 ,30.76 ,33.15 ,32.14 ,23.04 ,26.51 ,22.09 ,30.76 ,25.92 ,23.14 ,22.55 ,22.11 ,21.08 ,24.84 ,24.67 ,29.28 ,36.44 ,34.73 ,37.41 
Santa Clarita,Los Angeles,119.46 ,124.57 ,136.61 ,140.33 ,146.30 ,163.71 ,134.79 ,139.12 ,136.03 ,135.63 ,118.38 ,108.60 ,116.19 ,122.67 ,114.83 ,117.90 ,123.67 ,139.91 ,168.16 ,170.53 ,175.24 
Santa Fe Springs,Los Angeles,"1,321.06 ","1,241.91 ","1,391.02 ","1,244.10 ","1,180.06 ","1,199.34 ","1,040.37 ","1,085.30 ","1,093.74 ","1,082.03 ",993.40 ,793.85 ,904.27 ,"1,061.70 ","1,025.00 ","1,064.96 ","1,126.42 ","1,147.87 ","1,354.37 ","1,354.64 ","1,532.10 "
Santa Monica,Los Angeles,192.56 ,253.55 ,307.59 ,280.57 ,282.70 ,303.86 ,253.72 ,263.80 ,270.12 ,267.02 ,234.48 ,214.64 ,241.49 ,269.99 ,274.83 ,282.05 ,291.00 ,331.11 ,395.41 ,384.23 ,421.60 
Sierra Madre,Los Angeles,16.01 ,19.64 ,23.20 ,20.62 ,21.63 ,20.04 ,18.03 ,18.61 ,20.22 ,19.96 ,19.01 ,17.32 ,17.09 ,17.64 ,17.83 ,19.57 ,21.48 ,24.00 ,27.76 ,28.75 ,31.66 
Signal Hill,Los Angeles,893.55 ,881.61 ,"1,006.32 ",998.03 ,975.31 ,990.31 ,796.38 ,749.24 ,804.14 ,798.64 ,697.82 ,596.67 ,665.78 ,741.38 ,796.48 ,935.37 ,"1,159.05 ","1,301.24 ","1,535.77 ","1,525.16 ","1,537.75 "
South El Monte,Los Angeles,136.77 ,152.54 ,164.07 ,150.96 ,145.49 ,169.22 ,139.26 ,141.94 ,154.19 ,158.94 ,153.60 ,124.50 ,137.50 ,154.02 ,158.74 ,161.93 ,165.08 ,193.50 ,231.60 ,238.90 ,238.43 
South Gate,Los Angeles,54.57 ,64.98 ,69.76 ,69.99 ,73.09 ,67.60 ,62.19 ,59.59 ,57.36 ,57.59 ,49.60 ,40.85 ,46.26 ,50.05 ,54.24 ,54.17 ,68.15 ,86.99 ,110.84 ,110.09 ,115.25 
South Pasadena,Los Angeles,51.72 ,55.20 ,61.64 ,59.18 ,61.19 ,59.33 ,51.72 ,53.10 ,54.96 ,54.47 ,52.36 ,46.29 ,46.41 ,52.17 ,54.85 ,59.61 ,61.63 ,69.23 ,83.01 ,85.27 ,85.68 
Temple City,Los Angeles,42.31 ,43.76 ,48.35 ,41.21 ,40.92 ,39.54 ,33.73 ,33.65 ,33.82 ,37.32 ,34.42 ,31.24 ,34.07 ,34.43 ,35.47 ,35.82 ,39.38 ,42.09 ,54.03 ,55.96 ,60.11 
Torrance,Los Angeles,234.07 ,250.70 ,274.78 ,264.77 ,262.02 ,261.55 ,214.49 ,232.84 ,232.78 ,225.56 ,206.32 ,180.21 ,192.31 ,199.53 ,213.92 ,214.60 ,223.07 ,253.16 ,322.09 ,314.47 ,342.89 
Vernon,Los Angeles,"53,137.11 ","53,836.64 ","49,543.80 ","48,417.16 ","45,677.04 ","52,267.40 ","38,648.57 ","38,494.62 ","42,112.31 ","45,196.86 ","36,184.17 ","31,306.78 ","26,084.36 ","30,124.19 ","29,285.83 ","30,552.49 ","31,919.55 ","22,268.24 ","29,140.92 ","35,499.61 ","27,274.26 "
Walnut,Los Angeles,38.63 ,37.63 ,43.49 ,42.40 ,40.34 ,46.79 ,43.34 ,43.70 ,45.00 ,46.65 ,41.06 ,34.93 ,42.55 ,44.71 ,47.31 ,46.55 ,48.25 ,56.89 ,71.05 ,67.72 ,70.25 
West Covina,Los Angeles,100.54 ,105.13 ,116.68 ,116.13 ,122.08 ,122.18 ,101.80 ,100.90 ,100.92 ,97.60 ,88.97 ,77.34 ,86.88 ,91.59 ,99.16 ,104.30 ,113.43 ,132.48 ,163.92 ,155.60 ,163.95 
West Hollywood,Los Angeles,186.14 ,206.63 ,240.25 ,216.54 ,222.99 ,227.13 ,224.00 ,234.52 ,246.89 ,253.84 ,243.99 ,217.96 ,250.47 ,270.83 ,280.03 ,293.74 ,305.23 ,350.54 ,451.76 ,460.01 ,480.80 
Westlake Village,Los Angeles,276.95 ,312.89 ,349.30 ,333.50 ,326.31 ,314.80 ,266.48 ,284.38 ,291.18 ,286.37 ,254.41 ,226.93 ,254.74 ,297.19 ,315.92 ,321.29 ,396.48 ,431.69 ,565.91 ,528.01 ,564.22 
Whittier,Los Angeles,81.90 ,88.61 ,96.47 ,92.00 ,106.17 ,105.31 ,79.34 ,81.17 ,86.30 ,84.84 ,72.53 ,65.30 ,63.13 ,70.25 ,68.49 ,71.87 ,75.80 ,89.40 ,107.94 ,115.90 ,119.31 
Madera County unincorporated,MADERA,56.55 ,60.77 ,62.06 ,56.17 ,62.50 ,66.59 ,63.89 ,72.09 ,73.29 ,68.97 ,58.87 ,58.81 ,67.43 ,68.94 ,69.72 ,67.28 ,62.70 ,67.87 ,84.55 ,89.79 ,94.39 
Chowchilla,Madera,41.68 ,46.67 ,46.45 ,55.37 ,55.07 ,53.18 ,42.61 ,46.19 ,44.06 ,47.73 ,40.11 ,30.92 ,37.47 ,34.24 ,41.19 ,48.47 ,60.32 ,66.37 ,77.88 ,78.45 ,86.74 
Madera,Madera,101.99 ,104.86 ,89.69 ,85.49 ,90.05 ,96.70 ,80.85 ,85.74 ,82.50 ,80.61 ,71.91 ,60.34 ,56.63 ,71.88 ,75.38 ,82.30 ,91.84 ,99.93 ,122.46 ,129.04 ,132.07 
Marin County unincorporated,MARIN,35.77 ,42.58 ,45.73 ,43.79 ,46.44 ,47.87 ,39.30 ,37.98 ,42.34 ,41.05 ,36.72 ,38.13 ,40.84 ,41.06 ,42.81 ,42.09 ,40.25 ,62.70 ,72.69 ,65.05 ,69.79 
Belvedere,Marin,28.68 ,32.88 ,46.15 ,38.72 ,35.71 ,35.76 ,27.69 ,22.93 ,23.26 ,27.53 ,21.95 ,20.74 ,20.34 ,42.28 ,54.28 ,33.32 ,13.91 ,26.84 ,35.43 ,37.83 ,54.80 
Corte Madera,Marin,504.12 ,534.90 ,575.20 ,550.39 ,514.01 ,541.78 ,458.62 ,471.59 ,458.87 ,459.62 ,402.32 ,405.83 ,445.93 ,434.30 ,474.29 ,480.47 ,525.41 ,562.92 ,674.98 ,613.72 ,788.89 
Fairfax,Marin,41.72 ,43.95 ,47.74 ,47.09 ,46.97 ,48.16 ,42.08 ,42.11 ,43.63 ,42.59 ,45.85 ,41.91 ,42.81 ,49.00 ,53.60 ,57.98 ,61.89 ,65.36 ,81.38 ,92.51 ,87.08 
Larkspur,Marin,132.37 ,137.35 ,147.67 ,146.34 ,142.18 ,175.88 ,119.21 ,122.03 ,124.71 ,123.38 ,119.00 ,108.33 ,118.22 ,125.66 ,149.37 ,160.37 ,158.09 ,174.58 ,209.34 ,214.40 ,243.33 
Mill Valley,Marin,127.07 ,145.83 ,157.26 ,149.29 ,142.65 ,148.14 ,124.48 ,132.55 ,125.32 ,143.43 ,120.81 ,108.47 ,116.24 ,131.84 ,137.83 ,143.69 ,155.30 ,158.11 ,196.41 ,227.28 ,218.65 
Novato,Marin,132.10 ,141.26 ,152.63 ,141.10 ,139.35 ,134.92 ,114.06 ,112.87 ,111.36 ,112.46 ,101.31 ,99.32 ,106.63 ,107.87 ,110.93 ,110.67 ,112.45 ,128.38 ,157.65 ,171.64 ,181.46 
Ross,Marin,22.46 ,25.61 ,23.45 ,23.29 ,24.33 ,22.01 ,42.64 ,0.00 ,8.50 ,12.62 ,15.21 ,11.94 ,9.41 ,9.93 ,10.67 ,9.73 ,13.48 ,14.72 ,22.04 ,23.92 ,28.15 
San Anselmo,Marin,74.80 ,81.29 ,79.47 ,81.44 ,77.98 ,75.50 ,63.76 ,59.94 ,59.88 ,65.42 ,62.16 ,56.95 ,61.18 ,64.55 ,63.10 ,71.90 ,80.49 ,72.95 ,142.13 ,106.25 ,99.30 
San Rafael,Marin,263.99 ,293.56 ,320.22 ,299.01 ,292.24 ,302.20 ,239.94 ,232.42 ,233.90 ,232.94 ,202.71 ,180.66 ,197.13 ,210.88 ,219.50 ,238.84 ,252.98 ,275.22 ,335.75 ,348.03 ,371.88 
Sausalito,Marin,227.77 ,207.14 ,211.40 ,186.14 ,185.43 ,170.64 ,153.60 ,148.74 ,154.84 ,159.97 ,163.31 ,130.98 ,149.75 ,170.49 ,182.66 ,193.37 ,223.25 ,241.34 ,305.86 ,313.11 ,298.07 
Tiburon,Marin,57.24 ,61.37 ,67.00 ,61.94 ,90.77 ,57.62 ,44.31 ,47.13 ,42.42 ,50.25 ,42.02 ,33.55 ,32.93 ,33.86 ,37.71 ,42.74 ,48.87 ,51.44 ,63.71 ,63.06 ,61.00 
Mendocino County unincorporated,MENDOCINO,56.63 ,65.18 ,69.04 ,65.44 ,69.74 ,71.40 ,57.12 ,55.81 ,59.12 ,60.52 ,55.72 ,50.93 ,52.51 ,57.35 ,59.58 ,65.44 ,74.80 ,74.36 ,97.94 ,106.05 ,109.15 
Fort Bragg,Mendocino,199.57 ,225.16 ,218.89 ,228.48 ,219.62 ,232.32 ,200.55 ,193.69 ,188.91 ,186.84 ,175.15 ,153.67 ,149.47 ,156.45 ,161.47 ,162.42 ,165.31 ,169.24 ,203.36 ,230.60 ,236.89 
Point Arena,Mendocino,107.57 ,117.88 ,130.26 ,143.71 ,100.49 ,89.56 ,80.04 ,54.36 ,58.91 ,78.42 ,78.06 ,107.62 ,133.51 ,130.95 ,127.24 ,122.49 ,117.09 ,137.21 ,172.63 ,161.04 ,156.60 
Ukiah,Mendocino,193.32 ,209.90 ,214.24 ,233.79 ,241.37 ,239.77 ,206.01 ,208.57 ,217.40 ,221.85 ,199.95 ,184.38 ,189.55 ,197.83 ,210.29 ,215.99 ,212.28 ,255.90 ,327.53 ,321.95 ,354.73 
Willits,Mendocino,154.17 ,170.38 ,192.59 ,183.54 ,198.80 ,203.77 ,180.54 ,186.35 ,220.72 ,230.49 ,208.31 ,185.69 ,205.67 ,241.54 ,239.02 ,244.95 ,232.95 ,257.14 ,315.13 ,298.97 ,294.60 
Merced County unincorporated,MERCED,46.13 ,50.83 ,51.59 ,52.73 ,55.50 ,60.97 ,52.83 ,60.25 ,61.41 ,60.12 ,54.48 ,46.97 ,49.94 ,58.38 ,61.17 ,67.98 ,71.45 ,86.76 ,86.30 ,92.67 ,101.63 
Atwater,Merced,53.97 ,59.01 ,64.43 ,62.36 ,60.54 ,58.07 ,62.79 ,60.56 ,55.64 ,51.46 ,58.43 ,61.46 ,62.08 ,70.81 ,68.37 ,64.49 ,69.95 ,73.61 ,89.90 ,91.04 ,100.80 
Dos Palos,Merced,53.32 ,56.66 ,57.78 ,48.24 ,48.33 ,59.46 ,55.30 ,54.73 ,58.12 ,52.20 ,64.04 ,48.75 ,56.88 ,68.63 ,71.21 ,64.76 ,70.68 ,65.30 ,74.45 ,83.68 ,86.14 
Gustine,Merced,38.84 ,42.81 ,37.34 ,42.06 ,48.72 ,46.92 ,41.40 ,39.41 ,34.58 ,37.71 ,30.05 ,26.14 ,24.87 ,26.83 ,24.98 ,23.41 ,42.06 ,13.25 ,34.74 ,38.75 ,40.41 
Livingston,Merced,26.99 ,37.14 ,44.49 ,46.62 ,44.14 ,51.66 ,40.96 ,49.34 ,52.54 ,67.07 ,61.48 ,56.51 ,63.78 ,73.98 ,73.43 ,74.14 ,80.06 ,81.00 ,87.77 ,92.92 ,95.55 
